IncidntNum,Category,Date
478,BURGLARY,02/2015
3276,LARCENY/THEFT,02/2015
81,STOLEN PROPERTY,02/2015
509,VANDALISM,02/2015
550,VEHICLE THEFT,02/2015
21,ARSON,03/2015
510,BURGLARY,03/2015
3811,LARCENY/THEFT,03/2015
87,STOLEN PROPERTY,03/2015
674,VANDALISM,03/2015
626,VEHICLE THEFT,03/2015
30,ARSON,04/2015
488,BURGLARY,04/2015
3478,LARCENY/THEFT,04/2015
74,STOLEN PROPERTY,04/2015
584,VANDALISM,04/2015
728,VEHICLE THEFT,04/2015
29,ARSON,05/2015
565,BURGLARY,05/2015
3837,LARCENY/THEFT,05/2015
66,STOLEN PROPERTY,05/2015
668,VANDALISM,05/2015
825,VEHICLE THEFT,05/2015
31,ARSON,06/2015
495,BURGLARY,06/2015
3749,LARCENY/THEFT,06/2015
71,STOLEN PROPERTY,06/2015
660,VANDALISM,06/2015
716,VEHICLE THEFT,06/2015
22,ARSON,07/2015
489,BURGLARY,07/2015
3873,LARCENY/THEFT,07/2015
87,STOLEN PROPERTY,07/2015
765,VANDALISM,07/2015
633,VEHICLE THEFT,07/2015
16,ARSON,08/2015
488,BURGLARY,08/2015
3694,LARCENY/THEFT,08/2015
82,STOLEN PROPERTY,08/2015
727,VANDALISM,08/2015
628,VEHICLE THEFT,08/2015
16,ARSON,09/2015
465,BURGLARY,09/2015
3422,LARCENY/THEFT,09/2015
85,STOLEN PROPERTY,09/2015
663,VANDALISM,09/2015
627,VEHICLE THEFT,09/2015
28,ARSON,10/2015
456,BURGLARY,10/2015
3264,LARCENY/THEFT,10/2015
81,STOLEN PROPERTY,10/2015
671,VANDALISM,10/2015
709,VEHICLE THEFT,10/2015
25,ARSON,11/2015
456,BURGLARY,11/2015
2939,LARCENY/THEFT,11/2015
63,STOLEN PROPERTY,11/2015
557,VANDALISM,11/2015
638,VEHICLE THEFT,11/2015
19,ARSON,12/2015
521,BURGLARY,12/2015
2932,LARCENY/THEFT,12/2015
70,STOLEN PROPERTY,12/2015
547,VANDALISM,12/2015
649,VEHICLE THEFT,12/2015
